Name,Sector,Subsector,Market Cap (£ m),Current Price per Share (pence),Net Asset Value per Share (pence),Gearing (%),Dividend Yield (%),Last Statement Year
INSPIRIT ENERGY HOLDINGS PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,0.46,0.03,-0.03,7.16,nan,2017
INSTEM PLC,Software &amp; Computer Services,Computer Services,36.29,228.0,-30.58,-23.22,nan,2016
INTERNATIONAL BIOTECHNOLOGY TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,214.45,586.0,699.04,0.09,3.97,2018
INTERMEDIATE CAPITAL GROUP PLC,Financial Services,Asset Managers,2714.78,941.5,447.64,nan,3.06,2018
INTEGUMEN PLC,Personal Goods,Personal Products,2.25,0.56,nan,-657.52,-63.37,2017
INTERNATIONAL PERSONAL FINANCE PLC,Financial Services,Consumer Finance,459.71,208.4,187.58,130.87,6.17,2017
INTERCEDE GROUP PLC,Software &amp; Computer Services,Software,13.88,27.0,nan,nan,nan,2018
INTERCONTINENTAL HOTELS GROUP PLC,Travel &amp; Leisure,Hotels,8078.68,4092.0,nan,-215.73,1.65,2017
INTERSERVE PLC,Support Services,Business Support Services,15.9,11.4,-260.85,1062.58,nan,2017
INTERTEK GROUP PLC,Support Services,Business Support Services,7746.87,4608.0,-29.8,76.67,1.39,2017
INTEGRAFIN HOLDINGS PLC,Financial Services,Asset Managers,1017.16,301.75,6468.52,nan,31.86,2017
INTERNATIONAL CONSOLIDATED AIRLINES GROUP S.A.,Travel &amp; Leisure,Airlines,12256.86,581.6,176.95,9.24,3.69,2017
INTERNATIONAL PUBLIC PARTNERSHIPS LD,Equity Investment Instruments,Equity Investment Instruments,2273.99,154.6,145.03,nan,4.36,2017
INTU PROPERTIES PLC,Real Estate Investment Trusts,Retail REITs,1536.62,110.5,374.23,93.99,5.55,2017
INVESCO ASIA TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,184.02,255.0,nan,nan,nan,2018
INVESCO INCOME GROWTH TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,143.74,245.0,nan,nan,4.09,2018
INVESCO PERPETUAL UK SMALLER COMPANIES INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,146.52,444.0,543.56,nan,4.0,2018
INVESTEC PLC,Financial Services,Investment Services,3008.84,437.5,287.34,nan,4.37,2018
INVESTMENT COMPANY PLC,Equity Investment Instruments,Equity Investment Instruments,14.08,296.0,371.68,nan,6.37,2017
IOFINA PLC,Oil &amp; Gas Producers,Exploration &amp; Production,14.35,11.7,1.17,nan,nan,2017
IOMART GROUP PLC,Software &amp; Computer Services,Internet,357.55,329.0,-3.99,26.99,1.35,2018
IP GROUP PLC,Financial Services,Specialty Finance,1150.23,109.4,125.04,-7.59,nan,2017
IQE PLC,Technology Hardware &amp; Equipment,Semiconductors,504.76,59.35,23.69,nan,nan,2017
IRONRIDGE RESOURCES LIMITED,Industrial Metals &amp; Mining,Iron &amp; Steel,49.05,15.5,3.73,nan,nan,2018
IRONVELD PLC,Industrial Metals &amp; Mining,Iron &amp; Steel,10.36,1.75,-2.06,0.57,nan,2017
ITACONIX PLC,Chemicals,Specialty Chemicals,11.03,3.95,5.04,nan,nan,2017
ITE GROUP PLC,Media,Media Agencies,470.93,60.8,-22.74,nan,3.47,2018
ITM POWER PLC,Alternative Energy,Renewable Energy Equipment,75.82,26.85,10.88,nan,nan,2018
ITV PLC,Media,Broadcasting &amp; Entertainment,5025.72,125.4,-24.01,136.06,4.74,2017
IWG PLC,Support Services,Business Support Services,1869.76,205.7,1.71,40.73,2.27,2017
IXICO PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,10.99,25.0,10.28,nan,nan,2017
JADESTONE ENERGY INC,Oil &amp; Gas Producers,Exploration &amp; Production,156.28,33.9,0.89,2.91,nan,2017
JAMES HALSTEAD PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,888.53,428.0,60.39,nan,3.36,2018
JANGADA MINES PLC,Mining,Platinum &amp; Precious Metals,3.7,1.69,nan,-123.88,nan,2017
JARDINE LLOYD THOMPSON GROUP PLC,Nonlife Insurance,Insurance Brokers,4144.2,1890.0,-141.04,nan,2.47,2017
JARVIS SECURITIES PLC,Financial Services,Specialty Finance,50.92,465.0,46.39,nan,4.27,2017
JD SPORTS FASHION PLC,General Retailers,Apparel Retailers,3394.64,349.2,57.48,-40.2,0.45,2018
JERSEY ELECTRICITY PLC,Electricity,Conventional Electricity,52.96,455.0,567.22,nan,3.05,2017
JERSEY OIL AND GAS PLC,Oil &amp; Gas Producers,Exploration &amp; Production,35.47,168.5,18.34,nan,nan,2017
JKX OIL &amp; GAS PLC,Oil &amp; Gas Producers,Exploration &amp; Production,67.83,40.0,66.38,6.65,nan,2017
JOHN LAING ENVIRONMENTAL ASSETS GROUP LIMITED,Equity Investment Instruments,Equity Investment Instruments,521.87,106.0,100.12,nan,nan,2018
JOHN LAING GROUP PLC,Financial Services,Specialty Finance,1629.38,330.8,277.12,15.72,3.01,2016
JOHN LEWIS OF HUNGERFORD PLC,Household Goods &amp; Home Construction,Furnishings,1.31,0.68,0.7,-5.24,nan,2018
JOHNSON MATTHEY PLC,Chemicals,Specialty Chemicals,5417.0,2665.0,779.71,28.47,2.63,2018
JOHNSON SERVICE GROUP PLC,Support Services,Business Support Services,428.81,116.0,-4.49,67.3,2.18,2016
JOULES GROUP PLC,General Retailers,Apparel Retailers,200.57,238.5,22.55,-0.1,nan,2018
JPMORGAN ASIAN INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,311.88,324.0,375.38,nan,4.02,2017
JPMORGAN CHINESE INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,165.76,221.0,309.84,nan,0.58,2017
JPJ GROUP PLC,Travel &amp; Leisure,Gambling,124.82,620.0,nan,148.26,nan,2017
JPMORGAN BRAZIL INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,20.45,62.75,74.22,nan,nan,2018
JPMORGAN INDIAN INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,730.98,688.0,797.82,nan,nan,2017
JPMORGAN JAPAN SMALLER CO TST PLC,Equity Investment Instruments,Equity Investment Instruments,183.15,340.0,nan,nan,nan,2018
JPMORGAN AMERICAN INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,871.74,396.0,nan,nan,1.35,2017
JPMORGAN EURO SMALL CO. TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,523.94,326.0,438.89,nan,1.65,2018
JPMORGAN GLOBAL GROWTH &amp; INCOME PLC,Equity Investment Instruments,Equity Investment Instruments,373.32,283.5,318.44,nan,3.81,2018
JPMORGAN SMALLER COMPANIES INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,155.65,195.01,1424.89,nan,2.22,2018
JPMORGAN US SMALLER CO. INV TST PLC,Equity Investment Instruments,Equity Investment Instruments,153.73,266.5,nan,nan,0.82,2017
JPMORGAN CLAVERHOUSE INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,377.49,656.0,nan,nan,3.59,2017
JPMORGAN EMERGING MARKETS INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,1049.93,842.0,968.21,nan,1.48,2018
JPMORGAN EUROPEAN INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,181.32,255.0,nan,nan,4.26,2018
JPMORGAN GLOBAL CONVERTIBLES INCOME FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,108.54,85.2,80.49,nan,4.79,2018
JPMORGAN GLOBAL EMERGING MARKETS INCOME TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,365.05,122.0,134.61,nan,3.97,2018
JPMORGAN EUROPEAN INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,143.81,140.25,nan,nan,8.03,2018
JPMORGAN JAPANESE INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,603.07,377.0,528.09,nan,1.09,2018
JPMORGAN MID CAPITAL INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,231.45,983.0,1319.17,nan,2.24,2018
JPMORGAN MULTI-ASSET TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,81.1,92.6,nan,nan,nan,nan
JPMORGAN RUSSIAN SECURITIES PLC,Equity Investment Instruments,Equity Investment Instruments,242.56,506.0,574.72,nan,4.27,2017
JTC PLC,Financial Services,Specialty Finance,432.49,380.0,nan,nan,nan,nan
JUBILEE METALS GROUP PLC,Mining,Platinum &amp; Precious Metals,32.72,2.5,0.48,nan,nan,2017
JUDGES SCIENTIFIC PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,148.7,2480.0,-1.25,32.15,1.54,2017
JUPITER EMERGING &amp; FRONTIER INCOME TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,84.71,91.0,nan,nan,nan,nan
JUPITER EUROPEAN OPPORTUNITIES TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,765.91,678.0,778.94,nan,0.84,2018
JUPITER FUND MANAGEMENT PLC,Financial Services,Asset Managers,1351.13,290.9,64.04,nan,5.21,2017
JUPITER GREEN INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,32.53,167.5,191.31,nan,0.7,2018
JUPITER UK GROWTH INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,48.28,262.0,340.51,nan,2.08,2018
JUPITER US SMALLER COMPANIES PLC,Equity Investment Instruments,Equity Investment Instruments,133.53,912.0,nan,nan,nan,2018
JUST EAT PLC,General Retailers,Specialized Consumer Services,3996.05,570.6,11.63,-36.8,nan,2017
JUST GROUP PLC,Life Insurance,Life Insurance,863.43,95.85,164.87,nan,1.93,2017
K3 BUSINESS TECHNOLOGY GROUP PLC,Software &amp; Computer Services,Software,94.05,215.0,-4.43,6.16,0.84,2017
K3 CAPITAL GROUP PLC,Financial Services,Specialty Finance,113.55,269.0,10.15,nan,3.54,2018
KAINOS GROUP PLC,Software &amp; Computer Services,Software,482.34,414.0,25.34,nan,nan,2018
KAPE TECHNOLOGIES PLC,Software &amp; Computer Services,Software,132.98,96.5,36.37,nan,nan,2017
KARELIAN DIAMOND RESOURCES PLC,Mining,Diamonds &amp; Gemstones,1.17,3.4,0.03,nan,nan,2017
KATORO GOLD PLC,Mining,Gold Mining,1.01,0.68,3.72,nan,nan,2017
KAZ MINERALS PLC,Mining,General Mining,2384.6,493.3,168.39,206.63,nan,2017
KAZERA GLOBAL PLC,Support Services,Business Support Services,4.75,1.88,0.73,nan,nan,2017
KCOM GROUP PLC,Fixed Line Telecommunications,Fixed Line Telecommunications,377.12,67.0,2.54,61.87,6.51,2018
KEFI MINERALS PLC,Mining,General Mining,8.85,1.44,-0.53,nan,nan,2017
KELLER GROUP PLC,Construction &amp; Materials,Heavy Construction,355.62,483.0,413.2,49.0,3.51,2017
KENMARE RESOURCES PLC,Mining,General Mining,209.06,200.0,567.5,4.28,nan,2017
KERAS RESOURCES PLC,Industrial Metals &amp; Mining,Iron &amp; Steel,8.24,0.36,-0.07,nan,nan,2017
KEYSTONE INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,201.09,1500.0,2037.07,nan,3.45,2017
KEYSTONE LAW GROUP PLC,Support Services,Business Support Services,111.34,340.0,-2683.74,nan,nan,2018
KEYWORDS STUDIOS PLC,Support Services,Business Support Services,682.44,1096.0,41.65,-6.89,8.34,2017
KIBO ENERGY PLC,Mining,General Mining,12.0,1.93,0.19,2.42,nan,2017
KIER GROUP PLC,Construction &amp; Materials,Heavy Construction,497.5,401.6,-302.13,28.78,5.51,2017
KIN AND CARTA PLC,Support Services,Business Support Services,148.28,94.5,-22.73,31.91,nan,2018
KINGFISHER PLC,General Retailers,Home Improvement Retailers,4382.17,212.1,183.08,-0.8,3.12,2018
KNIGHTS GROUP HOLDINGS PLC,Support Services,Business Support Services,130.56,185.49,nan,nan,nan,nan
KODAL MINERALS PLC,Mining,General Mining,9.79,0.14,0.04,nan,nan,2018
KOOVS PLC,General Retailers,Apparel Retailers,28.84,8.15,nan,94.05,0.0,2018
KORE POTASH PLC,Mining,General Mining,61.98,7.2,nan,nan,nan,nan
KROMEK GROUP PLC,Health Care Equipment &amp; Services,Medical Equipment,69.0,27.25,8.61,-16.12,nan,2018
LAMPRELL PLC,Oil Equipment &amp; Services,Oil Equipment &amp; Services,206.74,63.1,98.1,-52.85,0.0,2017
LANCASHIRE HOLDINGS LIMITED,Nonlife Insurance,Property &amp; Casualty Insurance,1221.75,590.5,369.82,nan,1.64,2017
LAND SECURITIES GROUP PLC,Real Estate Investment Trusts,Industrial &amp; Office REITs,5964.32,801.4,1410.46,33.95,4.72,2018
LANDORE RESOURCES LIMITED,Mining,General Mining,10.2,0.97,0.01,nan,nan,2017
LANSDOWNE OIL &amp; GAS PLC,Oil &amp; Gas Producers,Exploration &amp; Production,9.27,1.5,-0.5,15.59,nan,2017
LATHAM (JAMES) PLC,Support Services,Industrial Suppliers,126.51,642.5,454.79,nan,2.5,2018
LAW DEBENTURE CORPORATION PLC,Equity Investment Instruments,Equity Investment Instruments,639.26,538.0,630.44,nan,2.75,2017
LEARNING TECHNOLOGIES GROUP PLC,Software &amp; Computer Services,Software,462.54,71.0,-1.15,-1.36,0.45,2017
LEGAL &amp; GENERAL GROUP PLC,Life Insurance,Life Insurance,13769.02,227.7,129.63,nan,5.66,2017
LEKOIL LIMITED,Oil &amp; Gas Producers,Exploration &amp; Production,41.53,7.72,29.65,10.76,nan,2017
LIDCO GROUP PLC,Health Care Equipment &amp; Services,Medical Equipment,10.62,4.4,2.61,nan,nan,2018
LIGHTHOUSE GROUP PLC,Financial Services,Specialty Finance,28.48,22.3,5.13,nan,2.15,2017
LIGHTWAVERF PLC,Technology Hardware &amp; Equipment,Telecommunications Equipment,5.37,7.15,0.03,29.99,nan,2017
LINDSELL TRAIN INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,242.0,1250.0,nan,nan,1.95,2017
LIONTRUST ASSET MANAGEMENT PLC,Financial Services,Asset Managers,294.19,618.0,46.36,nan,3.79,2018
LIVE COMPANY GROUP PLC,Media,Media Agencies,42.61,65.5,-0.56,nan,nan,2017
LLOYDS BANKING GROUP PLC,Banks,Banks,36893.99,51.2,54.08,nan,4.51,2017
LMS CAPITAL PLC,Equity Investment Instruments,Equity Investment Instruments,40.65,49.2,79.88,nan,nan,2017
LOCATION SCIENCES GROUP PLC,Software &amp; Computer Services,Software,7.16,2.12,nan,nan,nan,nan
LOK'N STORE GROUP PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,118.84,395.0,338.96,nan,2.73,2018
LONDON FINANCE &amp; INVESTMENT GROUP PLC,Financial Services,Asset Managers,12.33,39.5,65.36,nan,2.53,2018
LONDON STOCK EXCHANGE GROUP PLC,Financial Services,Investment Services,14142.18,4068.0,-393.09,17.73,1.38,2017
LONDONMETRIC PROPERTY PLC,Real Estate Investment Trusts,Diversified REITs,1215.7,172.7,164.87,nan,4.43,2018
LONMIN PLC,Mining,Platinum &amp; Precious Metals,127.54,48.0,186.44,-15.04,nan,2017
LOOKERS PLC,General Retailers,Specialty Retailers,359.39,92.6,41.19,25.4,3.76,2017
LOOPUP GROUP PLC,Software &amp; Computer Services,Software,159.88,290.0,nan,nan,6.25,2017
LOW &amp; BONAR PLC,General Industrials,Diversified Industrials,46.21,18.65,24.93,79.59,nan,2017
LOWLAND INVESTMENT COMPANY PLC,Equity Investment Instruments,Equity Investment Instruments,357.32,1320.0,1628.13,nan,3.26,2017
LPA GROUP PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,12.31,100.5,77.05,25.68,2.04,2017
LSL PROPERTY SERVICES PLC,Real Estate Investment &amp; Services,Real Estate Services,228.63,220.0,-32.38,nan,4.04,2017
LUCECO PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,55.48,34.1,-1345.86,91.75,24.0,2017
PJSC LUKOIL,Oil &amp; Gas Producers,Integrated Oil &amp; Gas,42093.28,72.78,nan,8.21,6.49,2017
LXB RETAIL PROPERTIES PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,19.07,5.75,29.52,35.71,nan,2017
LXI REIT PLC,Real Estate Investment Trusts,Diversified REITs,424.54,119.0,nan,nan,nan,2018
M WINKWORTH PLC,Real Estate Investment &amp; Services,Real Estate Services,14.39,113.0,38.12,nan,6.9,2017
M&amp;C SAATCHI PLC,Media,Media Agencies,251.15,281.0,11.19,-12.97,2.51,2017
M.P. EVANS GROUP PLC,Food Producers,Farming &amp; Fishing,371.26,654.0,529.2,-19.39,270.09,2017
MACAU PROPERTY OPPORTUNITIES FUND LIMITED,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,100.37,162.48,217.58,30.94,nan,2018
MACFARLANE GROUP PLC,General Industrials,Containers &amp; Packaging,112.65,76.0,-0.02,25.65,2.7,2017
MAESTRANO GROUP PLC,Software &amp; Computer Services,Software,7.24,9.05,nan,nan,nan,nan
MAIL.RU GROUP LIMITED,Software &amp; Computer Services,Internet,3842.13,22.82,nan,-3.3,nan,2016
MAINTEL HOLDINGS PLC,Support Services,Business Support Services,66.02,465.0,-284.79,nan,5.37,2017
MAISTRO PLC,Software &amp; Computer Services,Internet,4.22,1.4,nan,nan,nan,nan
MAJEDIE INVESTMENTS PLC,Equity Investment Instruments,Equity Investment Instruments,133.6,251.0,341.59,nan,3.46,2017
MAJESTIC WINE PLC,General Retailers,Specialty Retailers,178.17,246.0,102.99,6.95,1.81,2018
MAN GROUP PLC,Financial Services,Asset Managers,2069.36,134.45,31.8,nan,3.92,2017
MANAGEMENT RESOURCE SOLUTIONS PLC,Support Services,Business Support Services,8.37,4.75,nan,458.6,nan,2017
MANCHESTER &amp; LONDON INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,116.64,415.5,429.05,nan,2.36,2017
MANAGEMENT CONSULTING GROUP PLC,Support Services,Business Support Services,28.51,1.72,0.39,nan,nan,2017
MANX FINANCIAL GROUP PLC,Financial Services,Consumer Finance,10.62,8.1,9.32,nan,nan,2016
MANX TELECOM PLC,Fixed Line Telecommunications,Fixed Line Telecommunications,178.38,154.5,-3.28,nan,5.95,2017
MARECHALE CAPITAL PLC,Financial Services,Investment Services,0.76,1.32,0.81,nan,nan,2018
MARKS AND SPENCER GROUP PLC,General Retailers,Broadline Retailers,4016.79,251.2,145.1,53.73,6.92,2018
MARLOWE PLC,Support Services,Business Support Services,167.63,411.0,51.17,4.78,3.81,2018
MARSHALL MOTOR HOLDINGS PLC,General Retailers,Specialty Retailers,120.69,155.0,30.5,1.17,nan,2017
MARSHALLS PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,929.57,469.0,88.06,-2.51,3.3,2016
MARSTON'S PLC,Travel &amp; Leisure,Restaurants &amp; Bars,596.25,95.9,99.97,142.7,6.9,2017
MARTIN CURRIE ASIA UNCONSTRAINED TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,128.9,356.5,483.01,nan,4.35,2018
MARTIN CURRIE GLOBAL PORTFOLIO TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,197.81,232.0,246.13,nan,1.7,2018
MATTIOLI WOODS PLC,Financial Services,Asset Managers,175.29,657.5,136.72,nan,2.13,2018
MAYAN ENERGY LIMITED,Oil &amp; Gas Producers,Exploration &amp; Production,2.27,0.15,0.11,nan,nan,2017
MCBRIDE PLC,Household Goods &amp; Home Construction,Nondurable Household Products,228.5,129.4,20.65,169.08,3.22,2018
MCCARTHY &amp; STONE PLC,Household Goods &amp; Home Construction,Home Construction,745.28,133.0,125.7,nan,nan,2017
MCCOLL'S RETAIL GROUP PLC,Food &amp; Drug Retailers,Food Retailers &amp; Wholesalers,63.92,56.0,-89.42,96.29,3.63,2017
MCKAY SECURITIES PLC,Real Estate Investment Trusts,Industrial &amp; Office REITs,230.6,254.0,326.16,48.06,3.64,2018
MEARS GROUP PLC,Support Services,Business Support Services,359.98,341.0,-1.37,12.46,2.95,2017
MEDAPHOR GROUP PLC,Health Care Equipment &amp; Services,Medical Equipment,12.14,7.75,4.17,nan,nan,2017
MEDIAZEST PLC,Media,Media Agencies,0.98,0.09,-0.07,nan,nan,2018
MEDICA GROUP PLC,Health Care Equipment &amp; Services,Health Care Providers,136.11,126.0,-31.9,nan,20.28,2017
MEDICLINIC INTERNATIONAL PLC,Health Care Equipment &amp; Services,Health Care Providers,2377.61,305.0,255.05,51.0,9.65,2018
MEDICX FUND LIMITED,Real Estate Investment Trusts,Specialty REITs,330.42,74.6,76.33,104.56,6.59,2017
MEGGITT PLC,Aerospace &amp; Defense,Aerospace,3658.89,458.0,-112.97,37.74,3.28,2017
MELROSE INDUSTRIES PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,7960.25,155.65,-18.15,30.33,2.0,2017
MENHADEN PLC,Equity Investment Instruments,Equity Investment Instruments,53.6,68.0,83.89,nan,1.78,2017
MENZIES(JOHN) PLC,Support Services,Business Support Services,428.6,510.0,-80.53,158.4,3.0,2017
MERCANTILE INVESTMENT TRUST (THE) PLC,Equity Investment Instruments,Equity Investment Instruments,1390.82,173.66,2465.92,nan,2.47,2018
MERCANTILE PORTS &amp; LOGISTICS LIMITED,Industrial Transportation,Transportation Services,48.58,2.55,22.59,31.58,nan,2017
MERCHANTS TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,499.06,443.5,nan,nan,5.08,2018
MERCIA TECHNOLOGIES PLC,Financial Services,Specialty Finance,90.99,29.6,36.54,nan,nan,2018
MERLIN ENTERTAINMENTS PLC,Travel &amp; Leisure,Recreational Services,3245.08,317.8,53.45,74.22,2.05,2017
METAL TIGER PLC,Financial Services,Specialty Finance,16.87,1.23,1.42,-18.12,nan,2017
METALS EXPLORATION PLC,Mining,General Mining,8.29,0.82,4.71,63.28,nan,2017
METRO BANK PLC,Banks,Banks,1649.28,1734.0,586.27,nan,nan,2016
MI-PAY GROUP PLC,Support Services,Business Support Services,4.12,9.0,0.05,-13196.83,nan,2017
MICHELMERSH BRICK HOLDINGS PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,65.73,74.5,40.96,29.42,2.42,2017
MICRO FOCUS INTERNATIONAL PLC,Software &amp; Computer Services,Software,5793.02,1351.5,-1347.87,54.45,1.67,2017
MICROGEN PLC,Software &amp; Computer Services,Computer Services,208.91,342.0,-24.7,-17.29,1.33,2017
MICROSAIC SYSTEMS PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,4.11,0.9,2.11,nan,nan,2017
MID-WYND INTERNATIONAL INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,180.89,465.0,nan,nan,1.11,2018
MIDATECH PHARMA PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,3.67,6.0,11.51,-19.2,nan,2017
MIDDLEFIELD CANADIAN INCOME PCC,Equity Investment Instruments,Equity Investment Instruments,90.51,86.3,82.14,21.67,5.0,2017
MIDWICH GROUP PLC,Support Services,Business Support Services,390.49,496.5,-2529.51,44.61,21.12,2017
MILLENNIUM &amp; COPTHORNE HOTELS PLC,Travel &amp; Leisure,Hotels,1518.39,482.0,823.99,24.29,1.13,2017
MIND GYM PLC,Support Services,Business Training &amp; Employment Agencies,153.22,154.0,nan,nan,nan,nan
MINDS + MACHINES GROUP LIMITED,Media,Media Agencies,48.19,6.1,1.85,nan,nan,2017
MINERAL &amp; FINANCIAL INVESTMENTS LIMITED,Financial Services,Specialty Finance,2.29,7.25,7.49,-15.71,nan,2018
MINOAN GROUP PLC,Travel &amp; Leisure,Hotels,7.63,2.75,18.24,14.42,nan,2017
MIRRIAD ADVERTISING PLC,Media,Media Agencies,16.56,15.75,nan,nan,-72.98,2017
THE MISSION MARKETING GROUP PLC,Media,Media Agencies,45.55,52.0,-10.96,15.23,nan,2016
MITCHELLS &amp; BUTLERS PLC,Travel &amp; Leisure,Restaurants &amp; Bars,1102.47,252.2,382.44,117.77,2.98,2017
MITIE GROUP PLC,Support Services,Business Support Services,404.73,116.2,nan,-831.67,2.52,2018
MITON GLOBAL OPPORTUNITIES PLC,Equity Investment Instruments,Equity Investment Instruments,73.23,261.5,276.36,-6.11,nan,2018
MITON GROUP PLC,Financial Services,Asset Managers,79.07,44.75,11.65,nan,nan,2017
MITON UK MICROCAP TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,80.91,53.0,54.91,nan,18.94,2018
MJ GLEESON PLC,Household Goods &amp; Home Construction,Home Construction,351.55,618.0,316.65,nan,3.87,2017
MKANGO RESOURCES LTD,Mining,General Mining,9.57,8.25,nan,nan,nan,2017
PJSC MMC NORILSK NICKEL,Industrial Metals &amp; Mining,Nonferrous Metals,23309.4,18.82,2063.15,189.53,2384.29,2017
MOBILE STREAMS PLC,Mobile Telecommunications,Mobile Telecommunications,0.58,0.57,2.01,nan,nan,2018
MOBILE TORNADO GROUP PLC,Mobile Telecommunications,Mobile Telecommunications,11.52,3.3,nan,-65.35,nan,2017
MOBILITYONE LIMITED,Support Services,Financial Administration,3.72,3.5,0.75,45.68,nan,2017
MODERN WATER PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,8.29,7.95,1.97,nan,nan,2017
MONDI PLC,Forestry &amp; Paper,Paper,5998.88,1604.5,535.19,35.73,7.49,2017
MONEYSUPERMARKET.COM GROUP PLC,Media,Media Agencies,1477.46,279.6,4.74,nan,2.94,2017
MONKS INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,1582.45,727.0,762.87,nan,0.18,2018
MONTANARO EUROPEAN SMALLER C. TST PLC,Equity Investment Instruments,Equity Investment Instruments,136.79,807.5,901.06,nan,1.06,2018
MONTANARO UK SMALLER COMPANIES INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,175.87,104.5,679.1,nan,1.96,2018
MORGAN ADVANCED MATERIALS PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,751.09,254.0,-7.78,92.88,3.29,2017
MORGAN SINDALL GROUP PLC,Construction &amp; Materials,Heavy Construction,479.09,1046.0,134.65,-74.86,4.7,2016
MORRISON (WM) SUPERMARKETS PLC,Food &amp; Drug Retailers,Food Retailers &amp; Wholesalers,5049.78,216.55,174.76,21.78,4.53,2018
MORSES CLUB PLC,Financial Services,Consumer Finance,204.42,158.25,44.92,nan,5.13,2018
MORTGAGE ADVICE BUREAU (HOLDINGS) PLC,Financial Services,Mortgage Finance,263.19,515.0,nan,nan,4.05,2017
MOSMAN OIL AND GAS LIMITED,Oil &amp; Gas Producers,Exploration &amp; Production,1.59,0.25,2.14,nan,nan,2017
MOSS BROS GROUP PLC,General Retailers,Apparel Retailers,27.17,25.45,35.77,nan,6.01,2017
MOTHERCARE PLC,General Retailers,Broadline Retailers,54.75,16.1,-36.17,nan,nan,2018
MOTIF BIO PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,93.0,31.4,1.45,nan,nan,2017
MOTORPOINT GROUP PLC,General Retailers,Specialty Retailers,195.42,205.0,26.36,nan,nan,2018
MOUNTFIELD GROUP PLC,Construction &amp; Materials,Heavy Construction,3.43,1.35,-0.6,13.16,nan,2017
MPAC GROUP PLC,Industrial Engineering,Industrial Machinery,23.0,108.5,207.72,nan,nan,2017
MPORIUM GROUP PLC,Software &amp; Computer Services,Software,31.85,5.12,0.8,nan,nan,2017
MS INTERNATIONAL PLC,Industrial Engineering,Industrial Machinery,35.01,210.0,172.72,nan,4.46,2018
MTI WIRELESS EDGE LTD.,Technology Hardware &amp; Equipment,Telecommunications Equipment,16.54,19.0,28.18,-4.27,6.09,2017
MURGITROYD GROUP PLC,Support Services,Business Support Services,41.44,454.0,172.09,-8.59,3.39,2018
